States,Diabetes Status,Age Group,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,,65 +,2,5,3,2,3,6,8,4,2,4,6,4,3,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type I,All Recipient Ages,0,1,0,2,2,0,1,0,1,1,1,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,1,0,1,0,1,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,15,10,6,4,4,8,3,12,10,8,15,14,9,5,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,1,2,1,0,1,0,0,0,2,2,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,4,4,3,0,1,4,2,7,5,4,8,6,6,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,10,4,2,4,2,4,1,5,3,2,4,5,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
District of Columbia,All Diabetes,All Recipient Ages,274,340,369,410,399,332,318,329,276,191,198,168,177,213,236,187,160,220,221,175,184,178,170,167,203,207,135,159,164,164,159,209,213,174,190,213
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,1-5 Years,3,4,1,4,5,6,6,7,3,4,2,2,1,1,1,1,1,5,0,0,0,1,1,1,0,1,0,1,0,0,4,1,2,1,4,2
,,6-10 Years,4,3,1,3,1,2,3,0,5,2,2,2,3,2,2,3,2,3,2,0,2,0,3,0,3,4,2,2,0,2,0,4,2,4,2,2
,,11-17 Years,6,11,11,4,7,15,10,12,10,9,7,5,8,11,8,5,2,5,3,1,4,6,4,4,2,6,3,4,3,4,7,6,4,3,8,16
,,18-34 Years,27,47,51,52,47,43,36,35,30,16,16,20,21,26,27,25,21,30,39,30,30,31,41,23,38,48,21,35,34,42,37,62,54,53,59,70
,,35-49 Years,55,67,90,87,92,88,93,78,88,47,49,46,46,58,80,59,41,66,66,52,57,62,58,51,78,71,48,53,71,57,59,76,81,72,64,78
,,50-64 Years,126,133,135,166,167,118,114,130,111,69,84,67,77,90,88,73,76,92,95,77,68,59,50,70,74,63,59,57,52,54,46,54,64,40,51,41
,,65 +,53,75,80,94,80,60,56,67,29,44,38,26,21,25,30,21,17,19,16,15,23,19,13,18,8,14,2,7,4,5,6,6,5,1,2,3
,Diabetes Status Unknown,All Recipient Ages,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,2,4,6,3,2,5,4,12,4,5,2,3,5,0,0,0,2,0,0,1
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,2,6,1,3,2,2,2,0,0,0,2,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,3,2,1,2,2,2,4,1,1,0,1,2,0,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,168,232,247,274,265,236,235,227,190,122,128,118,123,157,177,140,106,172,154,117,131,138,118,110,136,149,92,117,105,33,2,3,0,1,2,0
,,1-5 Years,3,4,1,4,5,6,6,7,3,4,2,2,1,1,1,1,1,5,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0
,,6-10 Years,4,3,1,3,1,2,3,0,5,2,2,2,3,2,2,3,2,3,2,0,2,0,3,0,2,4,2,2,0,0,0,0,0,0,0,0
,,11-17 Years,6,11,11,4,7,15,10,12,10,9,7,5,8,11,7,5,2,5,3,1,4,6,4,4,1,6,2,4,2,2,0,0,0,0,0,0
,,18-34 Years,23,43,43,46,45,42,35,32,28,11,14,20,21,23,26,20,20,28,36,28,25,27,33,21,35,42,18,30,22,12,1,0,0,0,0,0
,,35-49 Years,45,56,66,72,72,71,74,62,63,32,33,36,36,49,68,50,35,52,50,43,44,52,46,39,59,55,34,38,51,9,0,2,0,0,1,0
,,50-64 Years,64,80,89,99,98,73,78,72,64,46,51,38,40,57,58,51,40,66,56,40,39,40,28,33,36,34,35,37,26,9,1,1,0,1,0,0
,,65 +,23,35,36,46,37,27,29,42,17,18,19,15,14,14,15,10,6,13,7,5,17,12,3,12,3,7,1,5,4,1,0,0,0,0,0,0
,Type I,All Recipient Ages,4,10,8,5,8,9,7,13,13,8,13,6,7,10,7,13,4,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,2,2,3,2,0,0,1,3,1,1,1,0,0,2,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,1,4,2,2,4,5,4,6,7,3,7,4,1,2,4,5,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,1,3,2,1,3,4,2,3,4,3,5,2,5,5,2,5,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,101,98,114,130,122,86,74,88,68,59,56,43,42,43,43,28,33,18,13,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,1,2,5,4,2,1,0,0,1,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,9,7,22,12,15,11,15,10,16,11,9,5,8,6,7,4,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,61,50,44,66,64,41,34,55,40,19,27,27,29,26,23,15,23,9,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,30,39,43,48,41,33,25,23,11,25,19,11,5,10,12,8,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,1,0,0,1,3,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,0,0,1,1,2,0,2,0,1,1,3,2,8,5,14,17,42,44,50,34,46,43,57,49,31,30,24,13,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,5,3,8,1,2,4,2,4,3,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,3,9,7,13,8,8,6,15,13,9,7,9,3,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,1,0,0,0,1,0,1,0,2,1,4,2,10,12,26,27,26,16,20,32,35,26,19,18,12,8,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,4,2,5,9,6,7,10,4,5,6,1,1,0,2,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,6,4,10,9,30,118,157,206,211,173,188,212
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,3,2
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,2,4,2,2
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,7,6,4,3,8,16
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,30,36,62,54,53,59,69
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,6,9,45,59,74,79,72,63,78
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,5,1,12,37,45,53,64,39,51,41
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,6,6,5,1,2,3
Florida,All Diabetes,All Recipient Ages,1456,1794,1514,1639,1579,1378,1151,1121,1113,980,949,929,976,994,902,942,906,828,903,835,711,650,742,664,695,630,632,565,582,473,462,464,462,463,430,397
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1-5 Years,12,7,4,10,6,9,9,9,11,8,15,11,6,8,9,5,13,10,6,10,9,4,7,8,5,5,5,10,12,5,8,5,4,4,4,2
,,6-10 Years,12,6,13,8,9,15,7,10,7,8,9,5,3,3,9,2,7,7,5,8,15,4,7,3,13,8,8,3,6,6,4,5,12,3,10,7
,,11-17 Years,20,27,27,24,23,30,19,26,28,22,16,17,16,18,29,25,24,16,35,31,26,20,20,17,20,13,17,12,16,12,6,15,11,16,12,16
,,18-34 Years,141,175,159,180,152,131,134,146,150,113,134,106,117,113,97,112,108,100,124,119,103,101,142,110,136,126,120,98,122,93,117,104,129,141,114,88
,,35-49 Years,359,398,362,382,362,304,275,286,287,255,228,247,276,245,221,248,243,212,220,224,190,186,215,200,208,182,209,203,191,165,165,178,175,175,161,145
,,50-64 Years,552,710,586,662,642,520,450,418,394,337,350,337,354,370,333,358,352,323,353,312,272,235,248,227,228,212,212,180,191,151,131,121,99,100,103,117
,,65 +,360,471,363,373,385,369,257,226,236,237,197,206,204,237,204,192,158,159,160,131,96,100,103,99,85,84,61,59,44,41,31,36,32,24,26,22
,Diabetes Status Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,1,0,1,2,2,3,9,6,7,9,1,3,2,4,4,3,0,0,0,1,0,0,2,1,2,2,1
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
,,18-34 Years,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,1,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,2,2,5,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,974,1144,975,1055,1047,923,797,791,769,676,678,666,693,707,652,684,667,591,659,624,551,502,547,489,528,466,474,409,395,158,3,2,4,2,0,0
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1-5 Years,12,7,4,10,6,9,9,9,11,8,15,11,6,8,9,5,13,9,6,10,9,3,7,8,5,5,5,10,12,1,0,0,0,0,0,0
,,6-10 Years,12,6,13,8,9,15,7,10,7,8,9,5,3,3,9,2,7,7,5,8,15,4,7,3,13,8,8,3,5,3,0,0,0,1,0,0
,,11-17 Years,20,27,27,24,23,30,19,26,28,20,16,17,16,18,28,25,23,16,32,31,25,20,19,16,19,13,17,11,16,7,0,0,0,0,0,0
,,18-34 Years,130,168,155,169,144,124,127,144,143,106,128,104,114,108,94,106,104,92,116,111,94,95,128,97,122,107,106,84,90,39,2,0,3,0,0,0
,,35-49 Years,276,298,269,289,287,247,218,227,236,203,177,208,233,191,180,212,197,182,180,186,156,158,162,154,152,138,154,146,128,51,0,2,1,1,0,0
,,50-64 Years,341,397,341,373,386,314,283,248,220,198,222,197,209,229,213,227,227,194,217,198,190,156,152,140,153,136,140,114,112,45,1,0,0,0,0,0
,,65 +,183,241,166,182,192,184,134,127,124,133,111,124,112,150,119,107,95,90,103,80,62,66,72,71,64,59,44,41,32,12,0,0,0,0,0,0
,Type I,All Recipient Ages,21,23,30,27,32,22,16,16,11,21,21,24,17,22,19,22,28,21,16,10,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,1,1,2,2,0,1,0,0,2,1,0,0,0,1,2,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
,,35-49 Years,9,10,13,11,14,10,9,11,5,13,8,8,3,11,5,6,9,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,8,7,9,11,14,11,5,2,5,4,11,12,13,7,10,12,17,13,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,4,5,7,3,2,1,1,3,1,1,1,4,1,4,3,2,2,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,458,617,503,551,499,429,337,312,332,276,248,235,264,256,217,218,182,155,104,22,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
,,18-34 Years,10,5,3,9,6,7,6,2,7,4,4,2,2,3,0,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,74,85,79,80,61,47,48,48,46,38,42,31,40,41,34,26,35,19,17,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,50-64 Years,203,302,232,274,242,192,162,166,169,133,117,124,132,131,102,111,94,81,58,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,171,225,189,188,190,183,121,96,110,101,85,78,90,81,81,78,51,53,27,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,3,9,6,5,0,4,0,2,1,3,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,4,4,4,0,3,0,2,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,1,0,1,1,0,1,0,0,3,2,1,0,6,11,8,21,52,112,178,153,143,189,166,159,149,139,132,101,58,0,1,1,1,1,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,2,4,4,7,6,13,13,13,13,9,12,17,14,0,1,0,1,0,0
,,35-49 Years,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,7,11,33,33,27,51,41,53,41,47,47,40,21,0,0,0,0,1,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,2,0,1,0,3,7,3,10,32,69,96,79,77,95,84,72,72,66,57,38,20,0,0,1,0,0,0
,,65 +,0,0,0,0,1,0,1,0,0,1,0,0,0,2,1,4,8,11,28,45,33,33,30,28,21,23,17,16,6,3,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,2,0,1,5,5,15,18,24,85,257,459,458,456,458,426,396
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,4,3,4,2
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,12,2,9,7
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6,15,11,16,12,15
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,6,4,2,15,40,115,102,125,139,112,88
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,2,3,8,10,22,93,165,175,174,174,160,145
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,4,6,9,41,86,130,120,98,100,103,117
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,26,31,36,32,24,26,22
Georgia,All Diabetes,All Recipient Ages,671,808,834,646,674,590,465,511,524,464,455,459,462,445,381,351,394,370,343,379,313,328,334,314,273,273,260,234,273,263,253,262,226,272,236,271
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1-5 Years,5,3,4,3,1,2,4,8,2,8,7,7,7,9,16,3,2,5,7,3,8,7,3,3,2,2,4,1,2,1,2,4,5,3,4,3
,,6-10 Years,3,3,4,1,6,3,5,4,7,4,7,4,6,3,7,7,6,9,2,6,4,4,4,3,4,4,3,2,4,1,0,1,4,1,3,2
,,11-17 Years,8,10,10,20,16,16,12,18,21,20,10,17,22,11,11,15,13,21,18,26,15,8,17,8,11,6,9,9,17,8,7,6,12,6,2,10
,,18-34 Years,65,97,117,64,72,58,57,72,70,52,40,56,37,63,43,57,44,57,60,70,58,61,53,62,67,57,62,45,83,75,71,76,71,77,80,83
,,35-49 Years,152,197,247,191,195,178,149,161,156,144,134,125,126,121,97,85,134,95,91,110,79,99,111,104,82,103,77,84,91,93,89,100,84,116,99,103
,,50-64 Years,296,351,311,242,264,222,173,179,198,173,170,167,193,178,161,136,148,129,111,131,119,115,124,108,88,94,95,80,70,76,77,66,41,64,47,66
,,65 +,142,147,141,125,120,111,65,69,70,63,87,83,71,60,46,48,47,54,53,33,30,34,22,26,18,7,10,12,6,9,7,9,9,5,1,4
,Diabetes Status Unknown,All Recipient Ages,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,3,2,1,0,1,1,0,1,1,0,0,0,0,1,1,2
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,65 +,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,409,525,573,434,465,408,343,362,386,348,302,322,341,313,267,250,276,276,251,277,222,252,249,265,222,199,197,161,168,69,0,1,0,2,0,0
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1-5 Years,5,3,4,3,1,2,4,8,2,7,7,7,7,9,16,3,2,5,7,3,8,7,3,3,2,2,4,1,2,0,0,0,0,0,0,0
,,6-10 Years,3,3,4,1,6,3,5,4,7,4,7,4,6,3,7,7,6,9,2,6,4,4,4,3,4,4,3,1,4,1,0,0,0,0,0,0
,,11-17 Years,8,10,10,19,16,16,12,18,20,19,8,17,22,11,10,15,11,21,17,25,15,8,17,7,10,6,9,9,15,5,0,0,0,0,0,0
,,18-34 Years,62,92,115,61,70,55,54,69,67,50,38,52,35,59,40,54,40,53,57,59,52,56,48,59,62,44,56,35,64,24,0,0,0,1,0,0
,,35-49 Years,116,149,189,141,161,140,125,133,129,120,96,98,105,98,80,70,98,78,70,86,68,80,84,89,65,78,58,57,51,23,0,1,0,1,0,0
,,50-64 Years,163,195,180,154,159,137,113,97,123,113,101,99,119,103,88,75,91,77,65,81,64,78,79,82,64,61,60,51,30,15,0,0,0,0,0,0
,,65 +,52,73,71,55,52,55,30,33,38,35,45,45,47,30,26,26,28,33,32,17,11,19,14,22,14,4,7,6,2,1,0,0,0,0,0,0
,Type I,All Recipient Ages,19,15,14,15,16,14,8,18,12,6,9,7,12,10,11,9,16,13,9,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
,,1-5 Years,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,2,2,0,2,1,1,0,1,1,0,0,1,0,1,1,1,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,35-49 Years,6,4,7,6,9,7,4,6,5,3,3,1,5,5,6,2,9,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,,50-64 Years,11,9,5,6,5,4,4,11,6,2,2,5,7,4,2,6,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,2,0,1,2,0,0,0,0,3,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,237,266,244,195,193,167,113,131,123,109,142,127,108,118,94,80,78,65,39,20,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,1,3,2,1,1,2,3,2,2,2,2,3,2,2,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,29,44,50,43,25,31,20,22,20,21,35,26,16,16,11,11,18,10,13,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
,,50-64 Years,120,147,124,81,100,80,55,71,69,57,65,60,66,70,65,48,43,37,19,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,87,72,68,70,67,54,35,36,32,28,39,38,24,30,16,20,16,16,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,4,2,3,0,0,1,0,0,2,1,2,0,0,2,5,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
