States,Diabetes Status,Relationship,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,,"Deceased Donor Transplant, Not Applicabl",3,3,5,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Donor Relations,0,0,1,0,1,0,1,4,1,5,24,14,12,5,3,1,6,1,5,4,8,5,5,9,6,1,4,8,3,0,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,1,0,1,0,1,4,1,4,23,14,12,5,3,1,6,1,5,4,8,4,5,8,6,1,3,8,1,0,0,0,0,0,0,0
,Unknown,All Donor Relations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8,2,6,10,42,28,13,23,22,14,21
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8,1,3,10,38,27,11,23,21,13,21
,,NOT REPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Missouri,All Diabetes,All Donor Relations,479,570,545,582,615,510,496,442,401,387,349,385,399,391,423,380,420,432,364,345,256,273,309,332,342,344,316,271,314,327,280,214,240,232,237,241
,,"Biological, blood related Parent",8,12,5,10,12,6,13,16,15,12,12,9,14,12,13,15,17,15,17,13,12,11,18,20,20,21,19,21,23,16,24,16,29,24,16,15
,,"Biological, blood related Child",6,12,11,15,18,11,14,19,9,13,15,15,10,17,17,17,25,27,18,23,15,19,20,22,21,21,22,14,19,11,7,9,10,1,6,6
,,"Biological, blood related Identical Twin",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",12,14,13,7,16,15,16,17,16,14,8,14,23,18,21,28,33,31,35,35,30,29,44,44,43,35,35,23,30,34,36,32,29,31,35,36
,,"Biological, blood related Half Sibling",1,2,0,0,1,1,0,1,0,0,1,0,0,1,1,5,2,0,3,1,3,1,2,2,2,1,1,0,3,1,2,0,1,1,0,1
,,"Biological, blood related Other Relative",10,8,11,5,9,11,7,10,4,6,8,4,12,14,13,10,15,9,9,9,11,9,11,17,11,11,7,7,10,4,0,0,1,0,2,2
,,"Non-Biological, Spouse",8,12,7,12,13,9,11,15,14,10,6,10,9,8,13,10,17,16,17,9,7,10,18,10,14,9,11,9,8,7,7,3,3,1,4,2
,,"Non-Biological, Life Partner",1,0,0,0,0,1,1,3,0,3,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",5,5,2,5,5,9,3,2,5,6,6,7,6,13,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",4,7,9,7,2,11,2,3,2,2,2,0,2,1,3,1,1,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,1,1,4,1,1,2,2,9,13,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",392,459,439,484,498,397,387,330,304,294,276,302,309,282,311,273,276,300,223,212,150,175,182,205,220,239,210,191,216,245,200,154,165,166,170,177
,,"Non-Biological, Other Unrelated Directed",28,39,47,36,37,39,41,25,27,26,14,22,12,16,7,13,25,31,39,41,24,17,14,12,8,6,9,3,4,1,1,0,2,3,2,2
,,NOT REPORTED,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,1,8,3,0,0,5,2,0
,,"Non-Biological, Unrelated: Non-Domino Th",0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Diabetes Status Unknown,All Donor Relations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Donor Relations,288,358,341,359,389,337,375,305,293,252,233,264,277,295,283,279,308,316,281,251,192,211,234,246,250,238,236,164,167,80,20,0,2,2,1,2
,,"Biological, blood related Parent",8,12,4,10,12,6,12,15,13,11,10,8,13,11,13,15,17,15,16,12,12,10,18,20,20,21,18,18,19,9,2,0,0,0,0,0
,,"Biological, blood related Child",3,7,9,9,13,7,9,13,8,10,10,6,7,9,11,12,14,17,10,17,9,12,11,18,15,16,19,3,7,6,3,0,0,0,0,0
,,"Biological, blood related Identical Twin",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",10,11,12,5,13,12,14,15,15,9,5,13,16,16,19,18,24,25,29,25,24,21,36,35,31,21,27,16,18,16,10,0,2,0,0,1
,,"Biological, blood related Half Sibling",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4,1,0,3,1,3,1,2,1,1,0,1,0,0,0,2,0,0,0,0,0
,,"Biological, blood related Other Relative",10,5,7,2,7,9,7,10,4,4,6,4,11,12,11,10,11,4,7,5,9,7,10,14,9,10,4,4,9,2,0,0,0,0,0,0
,,"Non-Biological, Spouse",6,7,3,9,8,7,8,10,11,5,5,9,8,7,11,7,10,11,12,5,4,9,13,4,6,4,8,5,2,4,2,0,0,0,0,0
,,"Non-Biological, Life Partner",1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",1,3,1,2,3,5,2,2,5,5,5,5,3,11,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",4,6,6,6,2,9,2,2,1,1,1,0,2,1,1,1,1,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,1,1,4,0,1,2,1,9,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",228,278,259,299,305,246,289,215,210,188,180,201,207,203,195,194,200,219,171,150,112,135,133,145,161,161,150,113,109,42,0,0,0,2,1,1
,,"Non-Biological, Other Unrelated Directed",15,29,39,16,24,35,31,18,21,18,10,16,9,15,6,11,23,23,31,35,16,14,11,9,4,5,7,2,2,1,0,0,0,0,0,0
,,NOT REPORTED,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,1,0,1,0,0,0,0,0
,,"Non-Biological, Unrelated: Non-Domino Th",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type I,All Donor Relations,17,14,17,11,21,12,9,12,10,13,12,11,15,14,16,15,18,8,15,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,1,2,1,1,1,0,0,0,0,0,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Identical Twin",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,1,1,0,1,0,0,1,1,1,0,1,2,0,1,4,8,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",2,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",14,11,13,5,16,9,6,10,7,6,8,9,11,9,12,10,7,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",1,0,0,4,0,2,2,0,1,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Donor Relations,166,188,186,210,204,160,112,120,97,120,104,103,102,70,119,82,76,79,31,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",3,3,2,5,3,3,4,4,1,3,5,9,2,5,5,3,9,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",2,2,0,2,2,3,2,1,0,4,3,0,5,2,1,6,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Half Sibling",1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,3,3,3,1,2,0,0,0,2,1,0,1,2,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",2,3,4,3,5,2,3,5,3,3,1,1,1,1,1,3,4,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",2,2,1,2,2,3,1,0,0,0,0,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,1,1,1,0,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",143,163,166,178,176,142,92,102,86,98,88,85,87,58,101,68,55,51,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",11,10,8,16,13,2,8,6,5,6,4,6,3,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,NOT REPORTED,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Unrelated: Non-Domino Th",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Donor Relations,7,10,1,1,1,1,0,4,1,2,0,2,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",6,7,1,1,1,0,0,3,1,2,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Donor Relations,0,0,0,1,0,0,0,1,0,0,0,5,5,11,3,3,16,28,35,81,62,60,73,84,90,96,73,75,79,27,5,0,0,0,0,0
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,2,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,1,5,6,7,9,4,6,5,3,11,12,4,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6,8,8,9,12,13,8,7,12,8,4,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,3,2,1,3,3,1,1,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,3,1,4,6,8,5,3,4,5,1,1,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,1,0,0,0,0,0,0,0,5,4,11,2,0,12,26,28,57,37,38,48,58,57,70,53,48,42,11,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,6,7,3,3,3,4,1,2,1,1,0,0,0,0,0,0,0
,Unknown,All Donor Relations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,2,9,7,32,68,220,255,214,238,230,236,239
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,22,16,29,24,16,15
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,10,1,6,6
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,22,32,27,31,35,35
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,3,1,4,2
,,"Non-Biological, Life Partner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,7,7,30,65,192,200,154,165,164,169,176
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,3,2,2
,,NOT REPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,2,0,0,5,2,0
Nebraska,All Diabetes,All Donor Relations,135,144,155,151,166,137,155,109,131,139,164,149,125,126,134,99,118,151,100,111,97,85,90,87,80,76,68,87,74,63,71,59,58,42,50,65
,,"Biological, blood related Parent",0,1,3,2,0,1,2,3,4,2,6,2,6,6,2,12,8,10,12,9,6,9,10,4,8,2,8,9,9,3,4,5,1,3,2,1
,,"Biological, blood related Child",0,4,4,2,4,8,8,1,3,3,0,4,3,4,10,6,12,6,7,9,8,6,1,3,0,3,0,2,1,3,1,0,0,1,0,0
,,"Biological, blood related Identical Twin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",2,2,6,4,5,3,5,2,9,7,2,10,7,9,14,5,16,20,14,12,13,11,12,12,10,7,10,11,16,6,12,5,6,2,3,1
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",2,2,0,0,1,0,2,2,5,3,6,1,6,8,7,4,4,5,2,3,3,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0
,,"Non-Biological, Spouse",1,2,1,2,1,3,2,3,3,6,3,7,4,5,5,5,5,12,7,11,4,5,4,4,9,4,3,1,3,2,2,0,0,0,0,0
,,"Non-Biological, Life Partner",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",0,0,0,0,0,0,0,2,1,2,0,2,1,6,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",1,3,1,1,4,4,3,4,0,0,0,0,0,0,2,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",115,98,123,135,127,102,103,79,96,107,139,115,88,68,80,54,60,79,45,57,52,42,56,55,41,54,45,60,42,48,52,49,49,36,45,63
,,"Non-Biological, Other Unrelated Directed",11,31,17,5,24,16,30,13,9,9,8,8,10,17,12,7,13,16,13,6,10,10,5,9,8,5,2,2,2,0,0,0,1,0,0,0
,,NOT REPORTED,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,Diabetes Status Unknown,All Donor Relations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
,No,All Donor Relations,90,96,91,83,100,86,108,75,82,93,110,97,82,94,90,73,80,93,78,80,67,57,65,66,63,52,41,61,46,19,1,0,0,0,0,0
,,"Biological, blood related Parent",0,1,3,2,0,1,2,3,4,2,6,2,6,6,2,11,8,10,10,8,6,9,9,4,8,1,7,9,8,3,1,0,0,0,0,0
,,"Biological, blood related Child",0,3,3,1,1,5,5,1,1,1,0,3,2,3,4,4,6,5,5,5,4,3,1,3,0,0,0,1,1,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",2,1,3,3,4,2,3,1,7,4,2,6,5,6,13,3,14,11,12,11,9,5,9,11,6,7,4,9,10,3,0,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",2,2,0,0,1,0,2,2,4,2,5,1,3,6,7,2,3,3,1,3,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",1,0,1,2,0,1,1,1,2,5,2,4,3,4,3,4,4,4,4,9,4,3,1,2,6,4,1,0,1,2,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",0,0,0,0,0,0,0,1,1,2,0,1,1,5,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,3,1,0,3,3,2,3,0,0,0,0,0,0,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",74,63,68,71,71,64,69,55,54,70,88,72,53,47,47,39,33,46,34,35,34,27,41,39,34,35,28,39,23,11,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",8,23,12,4,20,10,24,8,8,7,7,8,9,14,10,5,12,13,12,5,7,8,4,7,7,4,1,1,2,0,0,0,0,0,0,0
,,NOT REPORTED,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Type I,All Donor Relations,6,5,10,10,11,10,9,5,8,6,8,9,6,6,8,4,7,15,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,1,1,1,0,1,1,0,2,2,2,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,1,0,0,0,2,0,2,0,0,1,1,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",5,1,9,9,7,6,4,3,6,3,7,5,2,1,5,1,2,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",1,3,1,1,3,1,3,0,0,1,0,0,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Donor Relations,39,43,54,58,54,41,38,29,39,38,44,41,35,24,35,21,29,27,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",0,1,1,1,3,3,3,0,1,2,0,1,1,1,5,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,1,3,1,0,0,1,1,1,2,0,2,0,1,0,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,1,0,0,1,0,1,0,1,1,0,2,1,0,1,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
